date,open,high,low,close,volume,Name
2013-02-08,101.532197783238,106.532197783238,96.532197783238,101.532197783238,8407500,AAL
2013-02-11,103.057588320313,108.057588320313,98.0575883203132,103.057588320313,8882000,AAL
2013-02-12,104.569394608286,109.569394608286,99.5693946082864,104.569394608286,8126000,AAL
2013-02-13,106.060899996301,111.060899996301,101.060899996301,106.060899996301,10259500,AAL
2013-02-14,107.525478026312,112.525478026312,102.525478026312,107.525478026312,31879900,AAL
2013-02-15,108.956621873099,113.956621873099,103.956621873099,108.956621873099,15628000,AAL
2013-02-19,110.347973252788,115.347973252788,105.347973252788,110.347973252788,11354400,AAL
2013-02-20,111.69335067142,116.69335067142,106.69335067142,111.69335067142,14725200,AAL
2013-02-21,112.986776888086,117.986776888086,107.986776888086,112.986776888086,11922100,AAL
2013-02-22,114.222505470604,119.222505470604,109.222505470604,114.222505470604,6071400,AAL
2013-02-25,115.395046325761,120.395046325761,110.395046325761,115.395046325761,7186400,AAL
2013-02-26,116.499190090689,121.499190090689,111.499190090689,116.499190090689,9419000,AAL
2013-02-27,117.530031277018,122.530031277018,112.530031277018,117.530031277018,7390500,AAL
2013-02-28,118.482990064971,123.482990064971,113.482990064971,118.482990064971,6143600,AAL
2013-03-01,119.353832650582,124.353832650582,114.353832650582,119.353832650582,7376800,AAL
2013-03-04,120.138690055631,125.138690055631,115.138690055631,120.138690055631,8174800,AAL
2013-03-05,120.83407531674,125.83407531674,115.83407531674,120.83407531674,7676100,AAL
2013-03-06,121.436898977246,126.436898977246,116.436898977246,121.436898977246,13243200,AAL
2013-03-07,121.944482813036,126.944482813036,116.944482813036,121.944482813036,9125300,AAL
2013-03-08,122.354571731356,127.354571731356,117.354571731356,122.354571731356,10593700,AAL
2013-03-11,122.665343789735,127.665343789735,117.665343789735,122.665343789735,6961800,AAL
2013-03-12,122.875418290506,127.875418290506,117.875418290506,122.875418290506,8999100,AAL
2013-03-13,122.983861914974,127.983861914974,117.983861914974,122.983861914974,11380000,AAL
2013-03-14,122.990192869955,127.990192869955,117.990192869955,122.990192869955,8383300,AAL
2013-03-15,122.894383028291,127.894383028291,117.894383028291,122.894383028291,17667700,AAL
2013-03-18,122.696858053812,127.696858053812,117.696858053812,122.696858053812,6514100,AAL
2013-03-19,122.398495510198,127.398495510198,117.398495510199,122.398495510198,11805300,AAL
2013-03-20,122.00062096214,127.00062096214,117.00062096214,122.00062096214,10819800,AAL
2013-03-21,121.505002086122,126.505002086122,116.505002086122,121.505002086122,10740800,AAL
2013-03-22,120.913840816991,125.913840816991,115.913840816991,120.913840816991,8545200,AAL
2013-03-25,120.229763565204,125.229763565204,115.229763565204,120.229763565204,8400000,AAL
2013-03-26,119.455809548217,124.455809548217,114.455809548217,119.455809548217,6898500,AAL
2013-03-27,118.595417287851,123.595417287851,113.595417287851,118.595417287851,5537100,AAL
2013-03-28,117.652409333633,122.652409333633,112.652409333633,117.652409333633,8324100,AAL
2013-04-01,116.630975279981,121.630975279981,111.630975279981,116.630975279981,5222300,AAL
2013-04-02,115.535653152676,120.535653152676,110.535653152676,115.535653152676,14595600,AAL
2013-04-03,114.37130924733,119.37130924733,109.37130924733,114.37130924733,14658300,AAL
2013-04-04,113.143116509411,118.143116509411,108.143116509411,113.143116509411,5520300,AAL
2013-04-05,111.856531551894,116.856531551894,106.856531551894,111.856531551894,5252300,AAL
2013-04-08,110.517270412624,115.517270412624,105.517270412624,110.517270412624,3780700,AAL
2013-04-09,109.131283159112,114.131283159112,104.131283159112,109.131283159112,4420200,AAL
2013-04-10,107.704727453586,112.704727453586,102.704727453586,107.704727453586,3650600,AAL
2013-04-11,106.243941195733,111.243941195733,101.243941195733,106.243941195733,5062200,AAL
2013-04-12,104.75541436469,109.75541436469,99.7554143646903,104.75541436469,3751800,AAL
2013-04-15,103.245760185377,108.245760185377,98.2457601853769,103.245760185377,6243400,AAL
2013-04-16,101.721685747263,106.721685747263,96.7216857472633,101.721685747263,10458200,AAL
2013-04-17,100.189962206126,105.189962206126,95.189962206126,100.189962206126,6581900,AAL
2013-04-18,98.6573947011657,103.657394701166,93.6573947011657,98.6573947011657,7633300,AAL
2013-04-19,97.1307921211443,102.130792121144,92.1307921211443,97.1307921211443,5762600,AAL
2013-04-22,95.6169368538638,100.616936853864,90.6169368538638,95.6169368538638,9227100,AAL
2013-04-23,94.1225546533829,99.1225546533829,89.1225546533829,94.1225546533829,12302300,AAL
2013-04-24,92.6542847588462,97.6542847588462,87.6542847588462,92.6542847588462,6114400,AAL
2013-04-25,91.2186503976825,96.2186503976825,86.2186503976825,91.2186503976825,5548800,AAL
2013-04-26,89.8220298042184,94.8220298042184,84.8220298042184,89.8220298042184,7272100,AAL
2013-04-29,88.4706278824681,93.4706278824681,83.4706278824681,88.4706278824681,5436400,AAL
2013-04-30,87.1704486389945,92.1704486389945,82.1704486389945,87.1704486389945,3640700,AAL
2013-05-01,85.9272685083175,90.9272685083175,80.9272685083175,85.9272685083175,4943600,AAL
2013-05-02,84.7466106893782,89.7466106893782,79.7466106893782,84.7466106893782,4888900,AAL
2013-05-03,83.6337206070793,88.6337206070793,78.6337206070793,83.6337206070793,6451900,AAL
2013-05-06,82.5935426079177,87.5935426079177,77.5935426079177,82.5935426079177,3930700,AAL
2013-05-07,81.6306979932495,86.6306979932495,76.6306979932495,81.6306979932495,3157000,AAL
2013-05-08,80.7494644877786,85.7494644877786,75.7494644877786,80.7494644877786,6706200,AAL
2013-05-09,79.9537572344875,84.9537572344875,74.9537572344875,79.9537572344875,6424000,AAL
2013-05-10,79.2471114004452,84.2471114004452,74.2471114004452,79.2471114004452,4248200,AAL
2013-05-13,78.6326664707725,83.6326664707725,73.6326664707725,78.6326664707725,4250900,AAL
2013-05-14,78.1131523005411,83.1131523005411,73.1131523005411,78.1131523005411,5989700,AAL
2013-05-15,77.6908769865782,82.6908769865782,72.6908769865782,77.6908769865782,8951500,AAL
